continent,2010_population, 2010_population_density
Africa,901529814,37.068700565650076
North America,505581737,23.542125303018025
Oceania,37176851,4.3777396750542374
Asia,4066850410,99.22741309962267
South America,380024562,23.72498390239024
Europe,704784295,128.7807898560576
continent,2100_population
Africa,2017855806
North America,756911497
Oceania,45906518
Asia,5847484884
South America,628786756
Europe,442854296
